"Package","Title","Description","License","Authors","Maintainer","Date published (CRAN)","Has tests?","Has Vingettes?","# Contributors","# Repo stars","On CRAN?"
"ICER","Tools for analyzing cost effectiveness data","Tools for analyzing cost effectiveness data","What license it uses","Jose Pablo Gomez-Vazquez","Jose Pablo Gomez-Vazquez <jpgo@ucdavis.edu>",NA,FALSE,TRUE,0,0,FALSE
"dampack","Decision-Analytic Modeling Package","A suite of functions for analyzing and visualizing the health economic outputs of mathematical models.    This package was developed with funding from the National Institutes of Allergy and Infectious Diseases of the     National Institutes of Health under award no. R01AI138783. The content of this package is solely the     responsibility of the authors and does not necessarily represent the official views of the National Institutes     of Health. The theoretical underpinnings of 'dampack''s functionality are detailed in Hunink et al. (2014)     <doi:10.1017/CBO9781139506779>.","GPL-3","Fernando Alarid-Escudero, Greg Knowlton, Caleb W Easterly, David Garibay, Eva Enns","David Garibay","2024-09-30 17:00:06 UTC",TRUE,TRUE,9,34,TRUE
"dampack","Decision-Analytic Modeling Package","A suite of functions for analyzing and visualizing the health economic outputs of mathematical models.    This package was developed with funding from the National Institutes of Allergy and Infectious Diseases of the     National Institutes of Health under award no. R01AI138783. The content of this package is solely the     responsibility of the authors and does not necessarily represent the official views of the National Institutes     of Health. The theoretical underpinnings of 'dampack''s functionality are detailed in Hunink et al. (2014)     <doi:10.1017/CBO9781139506779>.","GPL-3","Fernando Alarid-Escudero, Greg Knowlton, Caleb W Easterly, David Garibay, Eva Enns","David Garibay","2024-09-30 17:00:06 UTC",TRUE,TRUE,1,20,TRUE
"vandet","Cost-Effectiveness Decision Tree","VNATDET project","What license is it under?","Nathan Green","Nathan Green <nathan.green@imperial.ac.uk>",NA,TRUE,FALSE,1,0,FALSE
"cedecisiontree","Cost-effectiveness decision tree analysis","A minimal cost-effectiveness decision tree analysis package. Designed specifically for building and running decision trees with several helper functions and simple interfaces.","MIT + file LICENSE","Nathan Green","Nathan Green <n.green@ucl.ac.uk>",NA,TRUE,TRUE,1,12,FALSE
"ceplot","arious plotting functions using cost-effectiveness analysis output","What the package does (one paragraph).","MIT","Nathan Green","Nathan Green <nathan.green@imperial.ac.uk>",NA,TRUE,FALSE,1,3,FALSE
"qaly","Calculate Quality Adjusted Life Years (QALYs) Gains with Discounting and Inflated Costs","S3 package for QALY calculation and plotting.","MIT + file LICENSE","NULL","Nathan Green <nathan.green@imperial.ac.uk>",NA,TRUE,FALSE,1,11,FALSE
"heromod2","Reproducible Health Economic Modeling","An R package for creating and running reproducible and transparent health economic models. Models of various types are creating using a consistent tabular structure which defines features of the model such as the strategies being compared and the health states between which patients transit.","AGPL-3","Jordan Amdahl","Jordan Amdahl <jrdnmdhl@gmail.com>",NA,TRUE,FALSE,1,10,FALSE
"dcurve","Decision Curve Analysis for Model Evaluation","Diagnostic and prognostic models are typically evaluated with measures of accuracy that do not address clinical consequences. Decision-analytic techniques allow assessment of clinical outcomes, but often require collection of additional information may be cumbersome to apply to models that yield a continuous result. Decision curve analysis is a method for evaluating and comparing prediction models that incorporates clinical consequences, requires only the data set on which the models are tested, and can be applied to models that have either continuous or dichotomous results. See the following references for details on the methods: Vickers (2006) <doi:10.1177/0272989X06295361>, Vickers (2008) <doi:10.1186/1472-6947-8-53>, and Pfeiffer (2020) <doi:10.1002/bimj.201800240>.","MIT + file LICENSE","Daniel D. Sjoberg","Daniel D. Sjoberg <danield.sjoberg@gmail.com>",NA,TRUE,TRUE,3,37,FALSE
"descem","Discrete Event Simulation for Cost-Effectiveness Modelling","A package designed to perform discrete event simulation for cost-effectiveness modelling.","Apache License (>= 2)","Valerie Aponte Ribero","Valerie Aponte Ribero <valerie.aponte_ribero@roche.com>",NA,FALSE,TRUE,2,3,FALSE
"aldvmm","Adjusted Limited Dependent Variable Mixture Models","The goal of the package 'aldvmm' is to fit adjusted limited     dependent variable mixture models of health state utilities. Adjusted     limited dependent variable mixture models are finite mixtures of normal     distributions with an accumulation of density mass at the limits, and a gap     between 100% quality of life and the next smaller utility value. The     package 'aldvmm' uses the likelihood and expected value functions proposed     by Hernandez Alava and Wailoo (2015) <doi:10.1177/1536867X1501500307> using     normal component distributions and a multinomial logit model of     probabilities of component membership.","GPL-3","Mark Pletscher, Achim Zeileis","Mark Pletscher","2023-10-28 05:40:08 UTC",TRUE,TRUE,1,5,TRUE
